Index,p0,p1,p2,p3,camber_0.03,camber_0.2,camber_0.4,camber_0.6,camber_0.8,U10_a0_OF_cl,U10_a0_OF_cd,U10_a1_OF_cl,U10_a1_OF_cd,U10_a3_OF_cl,U10_a3_OF_cd
0,0.0,0.0,0.0,0.0,-0.000191,8.9e-05,0.002109,0.009666,0.012352,0.303527,0.003457,0.502818,0.00131,0.643458,0.044434
4,-0.008285,0.0,-0.003865,-0.008823,-0.001231,-0.003491,0.000571,0.005205,0.010508,0.24924,0.00166,0.447122,0.001033,0.619254,0.042576
8,-0.002659,0.000271,0.001621,0.002027,-0.000524,-0.000961,0.002618,0.010919,0.012788,0.294684,0.003214,0.506746,0.001081,0.658165,0.039474
14,-0.015082,0.000404,-0.003629,0.002044,-0.002083,-0.006295,0.000641,0.009309,0.012703,0.276238,0.002325,0.421936,0.002862,0.636491,0.03934
16,-0.010999,0.005139,0.003075,0.005957,-0.001551,-0.003529,0.004558,0.012868,0.013604,0.293898,0.002403,0.464703,0.002002,0.663272,0.035886
17,-0.005247,0.005953,-0.002357,0.000457,-0.000825,-0.001017,0.003372,0.009163,0.012404,0.252336,0.002845,0.489166,0.000787,0.65685,0.037837
25,0.00333,0.006764,0.011913,0.02167,0.000255,0.003014,0.008458,0.021429,0.01692,0.347043,0.004222,0.609318,0.001536,0.73381,0.036257
36,0.011737,-0.001121,0.004837,-0.001944,0.001278,0.004932,0.003561,0.010427,0.012041,0.296439,0.003518,0.520613,0.002764,0.638742,0.054361
38,-0.004619,-0.00051,0.000652,0.012534,-0.000773,-0.001961,0.002066,0.014508,0.014889,0.309418,0.003512,0.541224,0.001659,0.671938,0.039463
47,-0.007249,0.001088,0.001172,0.002016,-0.001097,-0.002758,0.002615,0.010784,0.012778,0.283681,0.002211,0.488368,0.00099,0.653026,0.038527
51,-0.004185,0.003412,0.00763,0.003692,-0.000702,-0.000899,0.005528,0.013417,0.013224,0.283802,0.002808,0.514221,0.00066,0.674162,0.035757
54,-0.002186,3.3e-05,0.002454,-0.013963,-0.000465,-0.000793,0.00266,0.005248,0.009579,0.266339,0.00225,0.461475,0.000912,0.618782,0.041411
56,-0.004158,1e-05,0.001008,-0.004694,-0.000713,-0.001658,0.002227,0.008238,0.011423,0.2795,0.002388,0.478554,0.000978,0.640264,0.039916
57,-0.000145,0.003228,-0.001637,-0.001059,-0.000196,0.00063,0.00277,0.008798,0.012111,0.294429,0.003263,0.499447,0.001016,0.646567,0.043584
58,-0.004206,0.009533,-0.003312,0.004643,-0.00068,0.000107,0.004456,0.010452,0.013232,0.278283,0.002658,0.501074,0.00088,0.669368,0.036924
60,0.012621,0.003871,0.008692,0.006207,0.00141,0.006343,0.006635,0.01468,0.013749,0.323087,0.003693,0.574894,0.002268,0.670588,0.046215
65,-0.014692,0.00359,0.003415,-0.00016,-0.002021,-0.005393,0.003914,0.010692,0.012377,0.254462,0.002063,0.44284,0.002594,0.643209,0.036662
66,-0.010546,0.020096,0.001978,-0.016686,-0.001432,-0.00044,0.009465,0.004272,0.009022,0.201197,0.001962,0.407848,0.001467,0.645025,0.033242
67,0.013994,0.008129,0.010566,0.015211,0.0016,0.007786,0.008871,0.018632,0.015595,0.358471,0.00387,0.619401,0.0022,0.705177,0.043595
70,-0.009162,0.002998,-0.002659,0.013884,-0.001329,-0.00326,0.002189,0.014019,0.015106,0.277586,0.003615,0.509767,0.001495,0.669604,0.038272
73,-0.008756,0.003561,-0.009002,-0.013619,-0.001276,-0.003081,0.000255,0.001877,0.009455,0.221211,0.00155,0.429371,0.00105,0.612704,0.042941
74,0.009042,0.003191,0.00765,0.012667,0.000958,0.004674,0.006003,0.016746,0.015034,0.337086,0.003961,0.591497,0.00246,0.688403,0.043204
79,0.02216,0.008549,0.016568,-0.001462,0.002627,0.011432,0.010977,0.014307,0.012335,0.319042,0.003121,0.59621,0.002059,0.643545,0.047791
80,0.005671,0.010966,0.003572,0.020313,0.000567,0.004691,0.007538,0.018393,0.016506,0.381651,0.004332,0.593106,0.001434,0.714859,0.040578
82,-0.004283,-0.000218,0.002834,0.020764,-0.00073,-0.001726,0.002913,0.018233,0.016585,0.31669,0.003583,0.577735,0.002091,0.690864,0.038833
84,-0.012412,0.00927,0.004294,0.015217,-0.001711,-0.003304,0.006453,0.016712,0.015491,0.335258,0.002768,0.484614,0.002662,0.689729,0.034979
86,-0.015264,0.011303,0.002868,-0.000632,-0.002061,-0.004142,0.006519,0.010417,0.012273,0.248005,0.002004,0.421461,0.002793,0.651608,0.034621
88,-0.001807,0.004332,0.006438,0.028019,-0.0004,0.000271,0.0058,0.022073,0.018108,0.368956,0.003381,0.617423,0.001819,0.718693,0.036676
90,0.001118,0.004801,0.006056,0.009506,-3.1e-05,0.001597,0.005796,0.015098,0.01437,0.322578,0.003884,0.548414,0.001022,0.690974,0.037909
91,-0.011962,0.012896,-0.001887,-0.00596,-0.00164,-0.002507,0.005734,0.006992,0.011119,0.225821,0.002022,0.426111,0.001709,0.64637,0.034449
92,-0.007695,0.008279,-0.003331,-0.00178,-0.001123,-0.001619,0.003815,0.008054,0.011937,0.252085,0.001983,0.462091,0.000912,0.652995,0.03675
93,-0.014345,0.004904,-0.004127,0.001463,-0.001972,-0.005113,0.002144,0.008981,0.012577,0.268225,0.002213,0.434131,0.002508,0.640741,0.037219
94,-0.016024,0.012499,-0.007327,-0.013846,-0.002151,-0.004397,0.003738,0.002389,0.009438,0.196816,0.001807,0.384334,0.002627,0.621911,0.035888
95,-0.015488,0.011209,-0.002076,-0.009517,-0.002089,-0.004336,0.004909,0.0056,0.010399,0.211949,0.001734,0.392524,0.002735,0.63169,0.035237
96,-0.00122,0.0046,0.010893,0.022956,-0.000325,0.000644,0.007216,0.021572,0.017162,0.338588,0.003517,0.598898,0.001681,0.725001,0.035834
97,0.007959,0.001819,0.006568,0.022687,0.000816,0.003929,0.005229,0.020115,0.017035,0.358287,0.003919,0.623778,0.002995,0.706436,0.041873
99,-0.001453,0.008305,0.002321,0.014813,-0.000339,0.001128,0.005895,0.015946,0.015377,0.341253,0.003798,0.553791,0.001014,0.699089,0.036806
101,-0.000782,0.007241,0.002607,0.007885,-0.000259,0.00121,0.005559,0.013457,0.013985,0.31878,0.00341,0.533765,0.001004,0.683399,0.037817
102,-0.010945,0.006524,-0.00272,0.006939,-0.001538,-0.003331,0.003324,0.011458,0.013705,0.298126,0.002401,0.469088,0.001413,0.661845,0.036632
