#sample number,P,I,overshoot,t5%
0,1.27E+02,6.41E+02,0.00E+00,2.81E-01
1,1.40E+02,6.73E+02,0.00E+00,2.56E-01
2,1.27E+02,6.70E+02,0.00E+00,2.71E-01
3,1.40E+02,6.73E+02,0.00E+00,2.56E-01
4,1.04E+02,7.07E+02,3.04E-02,2.71E-01
5,1.40E+02,6.73E+02,0.00E+00,2.56E-01
6,1.40E+02,6.73E+02,0.00E+00,2.56E-01
7,1.40E+02,6.73E+02,0.00E+00,2.56E-01
8,1.40E+02,6.73E+02,0.00E+00,2.56E-01
9,1.40E+02,6.73E+02,0.00E+00,2.56E-01
10,1.40E+02,6.73E+02,0.00E+00,2.56E-01
11,8.52E+01,6.73E+02,4.87E-02,2.96E-01
12,1.40E+02,6.68E+02,0.00E+00,2.68E-01
13,1.40E+02,7.73E+02,1.68E-02,2.27E-01
14,1.40E+02,6.83E+02,0.00E+00,2.60E-01
15,1.40E+02,6.77E+02,0.00E+00,2.56E-01
16,1.40E+02,7.73E+02,1.70E-02,2.27E-01
17,1.40E+02,6.73E+02,0.00E+00,2.56E-01
18,1.40E+02,6.73E+02,0.00E+00,2.56E-01
19,1.40E+02,6.73E+02,0.00E+00,2.56E-01
20,1.40E+02,6.73E+02,0.00E+00,2.56E-01
21,1.05E+02,6.73E+02,1.39E-02,2.88E-01
22,1.40E+02,7.73E+02,1.68E-02,2.27E-01
23,1.40E+02,6.73E+02,0.00E+00,2.56E-01
24,1.40E+02,6.73E+02,0.00E+00,2.56E-01
25,1.40E+02,6.72E+02,0.00E+00,2.56E-01
26,1.40E+02,8.39E+02,4.28E-02,2.19E-01
27,9.14E+01,6.72E+02,3.61E-02,2.98E-01
28,1.40E+02,6.76E+02,0.00E+00,2.62E-01
29,1.40E+02,6.64E+02,0.00E+00,2.72E-01
30,1.40E+02,6.73E+02,0.00E+00,2.56E-01
31,1.39E+02,7.19E+02,0.00E+00,2.42E-01
32,1.40E+02,8.54E+02,4.84E-02,2.19E-01
33,1.40E+02,6.73E+02,0.00E+00,2.56E-01
34,1.40E+02,6.73E+02,0.00E+00,2.56E-01
35,1.40E+02,7.74E+02,1.74E-02,2.27E-01
36,1.40E+02,7.73E+02,1.68E-02,2.27E-01
37,1.39E+02,6.72E+02,0.00E+00,2.55E-01
38,1.40E+02,7.75E+02,1.79E-02,2.27E-01
39,1.39E+02,7.84E+02,2.21E-02,2.28E-01
40,1.39E+02,7.19E+02,0.00E+00,2.42E-01
41,1.40E+02,7.34E+02,9.28E-04,2.31E-01
42,1.40E+02,7.73E+02,1.76E-02,2.28E-01
43,1.40E+02,7.38E+02,2.88E-03,2.47E-01
44,1.39E+02,6.65E+02,0.00E+00,2.70E-01
45,1.32E+02,7.31E+02,7.38E-03,2.51E-01
46,1.40E+02,8.54E+02,4.84E-02,2.19E-01
47,1.40E+02,7.34E+02,9.28E-04,2.31E-01
48,1.53E+02,7.33E+02,0.00E+00,2.33E-01
49,1.40E+02,7.39E+02,3.84E-03,2.43E-01
50,1.40E+02,8.34E+02,4.09E-02,2.19E-01
51,1.49E+02,7.76E+02,1.18E-02,2.25E-01
52,1.40E+02,8.34E+02,4.09E-02,2.19E-01
53,1.40E+02,7.73E+02,1.68E-02,2.27E-01
54,1.40E+02,7.73E+02,1.68E-02,2.27E-01
55,1.46E+02,7.34E+02,0.00E+00,2.37E-01
56,1.40E+02,6.96E+02,0.00E+00,2.45E-01
57,1.40E+02,8.34E+02,4.09E-02,2.19E-01
58,1.48E+02,7.73E+02,1.11E-02,2.25E-01
59,1.45E+02,7.33E+02,0.00E+00,2.40E-01
60,1.40E+02,8.34E+02,4.09E-02,2.19E-01
61,1.41E+02,8.34E+02,4.00E-02,2.18E-01
62,1.40E+02,7.35E+02,1.49E-03,2.41E-01
63,1.48E+02,7.73E+02,1.11E-02,2.25E-01
64,1.51E+02,7.76E+02,1.06E-02,2.23E-01
65,1.40E+02,7.39E+02,3.24E-03,2.32E-01
66,1.41E+02,8.34E+02,4.04E-02,2.19E-01
67,1.51E+02,7.76E+02,1.01E-02,2.22E-01
68,1.49E+02,7.76E+02,1.22E-02,2.25E-01
69,1.48E+02,8.73E+02,4.89E-02,2.02E-01
70,1.41E+02,7.35E+02,1.08E-03,2.30E-01
71,1.53E+02,8.32E+02,3.01E-02,2.08E-01
72,1.48E+02,8.72E+02,4.86E-02,2.14E-01
73,1.88E+02,8.73E+02,2.92E-02,1.87E-01
74,1.46E+02,7.34E+02,0.00E+00,2.28E-01
75,1.41E+02,8.34E+02,4.04E-02,2.19E-01
76,1.88E+02,8.64E+02,2.67E-02,1.84E-01
77,1.48E+02,8.73E+02,4.89E-02,2.02E-01
78,1.24E+02,7.33E+02,1.57E-02,2.44E-01
79,1.55E+02,7.34E+02,0.00E+00,2.30E-01
80,1.56E+02,7.41E+02,0.00E+00,2.22E-01
81,1.87E+02,8.55E+02,2.39E-02,1.85E-01
82,1.53E+02,7.33E+02,0.00E+00,2.33E-01
83,1.88E+02,8.84E+02,3.29E-02,1.86E-01
84,1.88E+02,8.64E+02,2.67E-02,1.84E-01
85,1.56E+02,7.47E+02,0.00E+00,2.32E-01
86,1.87E+02,8.55E+02,2.39E-02,1.85E-01
87,1.65E+02,8.70E+02,3.65E-02,2.00E-01
88,1.88E+02,8.64E+02,2.68E-02,1.83E-01
89,1.87E+02,8.55E+02,2.39E-02,1.85E-01
90,1.73E+02,8.23E+02,1.73E-02,1.95E-01
91,1.55E+02,8.64E+02,4.06E-02,2.07E-01
92,1.62E+02,8.64E+02,3.63E-02,2.07E-01
93,1.59E+02,7.41E+02,0.00E+00,2.28E-01
94,1.87E+02,8.55E+02,2.39E-02,1.85E-01
95,1.73E+02,8.23E+02,1.73E-02,1.95E-01
96,1.88E+02,8.64E+02,2.67E-02,1.84E-01
97,1.73E+02,7.95E+02,7.71E-03,2.04E-01
98,1.40E+02,7.40E+02,4.48E-03,2.43E-01
99,1.74E+02,8.23E+02,1.71E-02,2.04E-01
100,1.88E+02,8.64E+02,2.69E-02,1.83E-01
101,1.88E+02,8.64E+02,2.68E-02,1.83E-01
102,1.57E+02,7.96E+02,1.47E-02,2.18E-01
103,1.88E+02,9.32E+02,4.73E-02,1.64E-01
104,1.87E+02,8.55E+02,2.39E-02,1.85E-01
105,1.88E+02,8.63E+02,2.64E-02,1.84E-01
106,1.50E+02,8.55E+02,4.07E-02,2.13E-01
107,1.90E+02,9.32E+02,4.66E-02,1.63E-01
108,1.56E+02,8.08E+02,1.92E-02,2.06E-01
109,1.72E+02,7.95E+02,8.38E-03,2.00E-01
110,1.86E+02,8.55E+02,2.40E-02,1.90E-01
111,1.56E+02,8.83E+02,4.66E-02,2.08E-01
112,1.73E+02,8.64E+02,3.10E-02,2.01E-01
113,1.45E+02,7.40E+02,2.54E-04,2.37E-01
114,1.56E+02,7.41E+02,0.00E+00,2.22E-01
115,1.56E+02,8.64E+02,3.95E-02,1.97E-01
116,1.88E+02,8.63E+02,2.64E-02,1.83E-01
117,1.34E+02,6.60E+02,0.00E+00,2.77E-01
118,1.71E+02,7.95E+02,8.24E-03,2.10E-01
119,1.90E+02,9.32E+02,4.66E-02,1.63E-01
120,1.37E+02,8.23E+02,3.98E-02,2.19E-01
121,1.56E+02,7.41E+02,0.00E+00,2.22E-01
122,1.56E+02,7.45E+02,0.00E+00,2.32E-01
123,1.88E+02,8.63E+02,2.65E-02,1.84E-01
124,1.56E+02,7.68E+02,4.63E-03,2.19E-01
125,1.88E+02,9.32E+02,4.74E-02,1.80E-01
126,1.87E+02,8.55E+02,2.39E-02,1.90E-01
127,1.90E+02,8.65E+02,2.67E-02,1.83E-01
